,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,2302733,2403533,16952333,5511,False,7,7,12,0.000178,0.716667,1.451115,96,Tanh(),611,0.72381,0.708432,0.716667,0.703157,0.733333,0.718362,0.766667,0.758167,True,0.010136666666666608,libras_move,6,exp0090_politica_1_oracle_1m1l,,,0.9087941836214212,topsis_pareto_oracle
0,2408204,2509004,17057804,2014,False,4,4,15,6.5e-05,0.790541,0.462747,96,LeakyReLU(negative_slope=0.01),214,0.791506,0.27899,0.790541,0.273911,0.791291,0.277865,0.837838,0.492917,True,0.003386,blood-transfusion-service-center,17,exp0090_politica_1_oracle_1m1l,,,0.9056773798192539,topsis_pareto_oracle
0,2417616,2518416,17067216,2206,False,6,6,7,9.9e-05,0.810811,0.466897,87,LeakyReLU(negative_slope=0.01),206,0.789575,0.274913,0.810811,0.367384,0.794294,0.295462,0.837838,0.492917,True,0.06164733333333331,blood-transfusion-service-center,18,exp0090_politica_1_oracle_1m1l,,,0.91343982011219,topsis_pareto_oracle
0,2420081,2520881,17069681,3511,False,3,3,12,7.2e-05,0.797297,0.463855,89,GELU(approximate=False),411,0.793436,0.283868,0.797297,0.308539,0.794294,0.291411,0.837838,0.492917,True,0.01644733333333333,blood-transfusion-service-center,2,exp0090_politica_1_oracle_1m1l,,,0.9017704662719029,topsis_pareto_oracle
0,2424935,2525735,17074535,1511,False,7,7,12,8.2e-05,0.797297,0.467403,99,ReLU(),111,0.797297,0.310978,0.797297,0.308539,0.798799,0.317773,0.837838,0.492917,True,0.006156000000000013,blood-transfusion-service-center,5,exp0090_politica_1_oracle_1m1l,,,0.9375675434680475,topsis_pareto_oracle
0,2432708,2533508,17082308,914,False,1,1,15,7e-05,0.797297,0.443218,94,ReLU(),114,0.787645,0.26486,0.797297,0.295651,0.78979,0.269928,0.824324,0.437718,True,0.020527333333333342,blood-transfusion-service-center,0,exp0090_politica_1_oracle_1m1l,,,0.8983408703649031,topsis_pareto_oracle
0,2436562,2537362,17086162,1009,False,2,2,10,7.3e-05,0.797297,0.452715,97,ReLU(),109,0.795367,0.304085,0.797297,0.300939,0.795796,0.302992,0.837838,0.492917,True,0.0020973333333333213,blood-transfusion-service-center,13,exp0090_politica_1_oracle_1m1l,,,0.9295389522999904,topsis_pareto_oracle
0,2444427,2545227,17094027,202,False,2,2,3,8.2e-05,0.77027,0.544562,92,Identity(),2,0.781853,0.264237,0.77027,0.223687,0.779279,0.245821,0.837838,0.482098,True,0.027033333333333336,blood-transfusion-service-center,14,exp0090_politica_1_oracle_1m1l,,,0.9363375327604286,topsis_pareto_oracle
0,2451931,2552731,17101531,501,False,5,5,2,0.000121,0.783784,0.501553,94,Identity(),1,0.762548,0.112995,0.783784,0.224618,0.767267,0.1378,0.824324,0.437718,True,0.07441533333333335,blood-transfusion-service-center,11,exp0090_politica_1_oracle_1m1l,,,0.9016597270438949,topsis_pareto_oracle
0,2454195,2554995,17103795,1111,False,3,3,12,7.3e-05,0.790541,0.466739,97,ReLU(),111,0.785714,0.247775,0.790541,0.264303,0.786787,0.251166,0.824324,0.437718,True,0.011018666666666677,blood-transfusion-service-center,4,exp0090_politica_1_oracle_1m1l,,,0.9151228645093434,topsis_pareto_oracle
0,2461886,2562686,17111486,2003,False,4,4,4,0.000126,0.797297,0.469264,99,LeakyReLU(negative_slope=0.01),203,0.783784,0.236946,0.797297,0.300939,0.786787,0.251166,0.824324,0.437718,True,0.04266200000000001,blood-transfusion-service-center,8,exp0090_politica_1_oracle_1m1l,,,0.9123080219710696,topsis_pareto_oracle
0,2465290,2566090,17114890,100,False,1,1,1,0.000136,0.777027,0.528847,97,Identity(),0,0.779923,0.304465,0.777027,0.284278,0.782282,0.307178,0.837838,0.484789,True,0.015266666666666687,blood-transfusion-service-center,10,exp0090_politica_1_oracle_1m1l,,,0.9858757781927533,topsis_pareto_oracle
0,2474116,2574916,17123716,3209,False,0,0,10,8.2e-05,0.810811,0.48504,97,GELU(approximate=False),409,0.789575,0.265821,0.810811,0.372328,0.797297,0.306712,0.824324,0.437718,True,0.07100466666666667,blood-transfusion-service-center,7,exp0090_politica_1_oracle_1m1l,,,0.8914858579393079,topsis_pareto_oracle
0,2477237,2578037,17126837,2303,False,7,7,4,0.000116,0.797297,0.479763,99,LeakyReLU(negative_slope=0.01),203,0.789575,0.271819,0.797297,0.300939,0.78979,0.272268,0.824324,0.437718,True,0.019413333333333355,blood-transfusion-service-center,12,exp0090_politica_1_oracle_1m1l,,,0.9330103842367821,topsis_pareto_oracle
0,2483569,2584369,17133169,913,False,1,1,14,6.5e-05,0.804054,0.483418,99,ReLU(),113,0.789575,0.262945,0.804054,0.331514,0.792793,0.277726,0.824324,0.437718,True,0.04571266666666666,blood-transfusion-service-center,3,exp0090_politica_1_oracle_1m1l,,,0.9068593643618208,topsis_pareto_oracle
