,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1853557,1954357,16503157,997,False,1,1,98,5.5e-05,0.81,0.445136,95,ReLU(),197,0.88,0.705866,0.81,0.519683,0.864444,0.665743,0.76,0.398541,True,0.046666666666666634,credit-g,14,exp0090_politica_1_oracle_1m1l,,,0.5856576415795779,Train
1859141,1959941,16508741,1086,False,2,2,87,5.5e-05,0.76,0.546551,94,ReLU(),186,0.871429,0.683567,0.76,0.403162,0.848889,0.626591,0.74,0.318079,True,0.074286,credit-g,11,exp0090_politica_1_oracle_1m1l,,,0.6129292944086674,Train
1864773,1965573,16514373,1498,False,6,6,99,5.2e-05,0.775,0.484624,79,ReLU(),198,0.874286,0.692227,0.775,0.447479,0.856667,0.647802,0.73,0.327569,True,0.06619066666666666,credit-g,4,exp0090_politica_1_oracle_1m1l,,,0.5587631322372915,Train
1870364,1971164,16519964,1890,False,2,2,91,5e-05,0.795,0.493654,89,LeakyReLU(negative_slope=0.01),290,0.861429,0.663419,0.795,0.483381,0.851111,0.635522,0.72,0.284463,True,0.04428599999999997,credit-g,8,exp0090_politica_1_oracle_1m1l,,,0.5957087680667401,Train
1875987,1976787,16525587,1691,False,0,0,92,5.4e-05,0.78,0.50158,98,LeakyReLU(negative_slope=0.01),291,0.871429,0.684389,0.78,0.442498,0.851111,0.632216,0.7,0.245256,False,0.060952666666666655,credit-g,10,exp0090_politica_1_oracle_1m1l,,,0.6042735291943361,Train
1881586,1982386,16531186,1084,False,2,2,85,5.5e-05,0.8,0.50454,95,ReLU(),184,0.868571,0.677604,0.8,0.503953,0.855556,0.644833,0.74,0.337141,True,0.045713999999999956,credit-g,7,exp0090_politica_1_oracle_1m1l,,,0.6213984416148192,Train
1887198,1987998,16536798,1898,False,2,2,99,5.5e-05,0.77,0.551235,98,LeakyReLU(negative_slope=0.01),298,0.895714,0.74511,0.77,0.412532,0.87,0.679507,0.76,0.389819,True,0.08380933333333333,credit-g,12,exp0090_politica_1_oracle_1m1l,,,0.5870174605771004,Train
1892799,1993599,16542399,2295,False,6,6,96,5.2e-05,0.78,0.499687,99,LeakyReLU(negative_slope=0.01),295,0.872857,0.689296,0.78,0.445943,0.852222,0.6367,0.7,0.231784,True,0.06190466666666664,credit-g,3,exp0090_politica_1_oracle_1m1l,,,0.5958552118049211,Train
1898383,1999183,16547983,1586,False,7,7,87,5.4e-05,0.79,0.468011,98,ReLU(),186,0.861429,0.658069,0.79,0.468837,0.848889,0.625629,0.72,0.296351,True,0.04761933333333331,credit-g,15,exp0090_politica_1_oracle_1m1l,,,0.6192966230121056,Train
1903998,2004798,16553598,1489,False,6,6,90,5.4e-05,0.755,0.561817,97,ReLU(),189,0.887143,0.72498,0.755,0.393017,0.857778,0.652015,0.73,0.316309,True,0.08809533333333334,credit-g,1,exp0090_politica_1_oracle_1m1l,,,0.6078257834769996,Train
